,model_type,n_vocab,d_model,d_hidden,lr,weight_decay,frac,runid,save_embeddings,dist_irr,grad_sym,circ
0,D,59,256,256,0.001,2.0,0.8,beta_repr_2,True,0.9441203963070106,-0.010839892895892262,0.8140185550753962
1,D,59,256,256,0.001,2.0,0.8,beta_repr_7,True,0.9527273087629481,0.026685833651572465,0.7282846908738025
2,D,59,256,256,0.001,2.0,0.8,beta_repr_3,True,0.9336046047549614,0.060062289137858896,0.9873040500981116
3,D,59,256,256,0.001,2.0,0.8,beta_repr_1,True,0.9552313500352833,-0.03950369691941887,0.9673660419244365
4,D,59,256,256,0.001,2.0,0.8,beta_repr_10,True,0.9377505215223265,0.04886330910492689,0.9580377449303116
5,D,59,256,256,0.001,2.0,0.8,beta_repr_4,True,0.9386168692691492,-0.019825746349524706,0.9919403096215994
6,D,59,256,256,0.001,2.0,0.8,beta_repr_5,True,0.9397322895793729,-0.016704496759921313,0.9654348088560674
7,D,59,256,256,0.001,2.0,0.8,beta_repr_8,True,0.9526029004135137,0.025513370973058044,0.9391867640498868
8,D,59,256,256,0.001,2.0,0.8,beta_repr_6,True,0.9591868799802774,0.01573574299341999,0.7956420444870442
9,D,59,256,256,0.001,2.0,0.8,beta_repr_9,True,0.9573962412000114,-0.03348835320211947,0.9786355756648969
